,results
0,"Sentence[154]: ""Baylor Scott   White   Centennial is recognized by numerous organizations for quality care and has been named a Primary Stroke Center by The Joint Commission  Certified Chest Pain Center by the Society of Cardiovascular Patient Care  Certification for Spinal Surgery by The Joint Commission  Breast Imaging Center of Excellence by the American College of Radiology  andTexas10 Step facility by the Texas Department of State Health Services and Texas Hospital Association  The hospital recently received the American Heart Association s Get With the Guidelines    Gold Plus Quality Achievement Award for Heart Failure Qualifications Associatesof NursingRequiredBachelors of Nursing PreferredBLS RequiredNRP RequiredJob Obstetric/Women Wing/Labor   DeliveryPrimary Location TX FriscoHospital/Facility Baylor Scott   White Medical Center   CentennialJob Type Full timeShift Type NightsJob Number 1705040563JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
1,"Sentence[48]: ""Job Description   RN L D FULL TIME NIGHTS 15k SIGN ON BONUS  1705040563  RN L D FULL TIME NIGHTS 15k SIGN ON BONUSDescription RN L DFULL TIME NIGHTS15K SIGN ON BONUSResponsible for providing professional nursing skills in assessing  planning  implementing and evaluating the nursing care for assigned patients"" → [""skills""/In-SK, ""assessing""/In-SK, ""planning""/In-SK, ""evaluating""/In-SK]"
2,"Sentence[13]: ""Maintains patient s privacy and confidentiality of information and records at all times"" → [""confidentiality""/In-SK]"
3,"Sentence[62]: ""Job Description   Patient Access Rep II / FT Nights / The Hospitals of the Providence   Memorial Campus  1705040662  Patient Access Rep II / FT Nights / The Hospitals of the Providence   Memorial CampusDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide"" → [""healthcare""/In-SK]"
4,"Sentence[45]: ""Job Patient AccessPrimary Location TX El PasoJob Type Full timeShift Type NightsJob Number 1705040662JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
5,"Sentence[110]: ""Duties may include  fielding telephone callsreceiving and directing visitors scheduling surgical casesword processing creating patient records on discmaintaining meeting minutescreating spreadsheets and presentationsfiling  data entry  and faxingQualifications Minimum High School Diploma or EquivalentExperience  One year of experience in an administrative support rolePrevious experience in a hospital environment is preferredOther Qualifications Proficiency in Microsoft Word and ExcelJob Non Clinical/AdministrativePrimary Location FL Palm Beach GardensHospital/Facility Palm Beach Gardens Medical CenterJob Type Full timeShift Type DaysJob Number 1705040604JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""directing""/In-SK, ""processing""/In-SK, ""data""/In-SK, ""entry""/In-SK, ""Microsoft""/In-SK, ""Word""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
6,"Sentence[93]: ""One year practical experience as laboratory assistant or recent completion of phlebotomy program Qualifications Current Phlebotomy Certificate which meets current California standards High school graduate or equivalent One year practical experience as laboratory assistant or recent completion of phlebotomy program Job Phlebotomy/Blood/Medical AsstPrimary Location CA LakewoodHospital/Facility Lakewood Regional Medical CenterJob Type PT2YShift Type DaysJob Number 1705038694JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
7,"Sentence[43]: ""Job Description   LABORATORY ASST PER DIEM DAYS  1705038694  LABORATORY ASST PER DIEM DAYSDescription Under the direct supervision of the Phlebotomy Supervisor or General Laboratory Supervisor  responsible for routine and STAT phlebotomy  specimen processing and assisting with routine clerical duties  filing and telephone reception"" → [""processing""/In-SK, ""filing""/In-SK]"
8,"Sentence[50]: ""Job ICU/CCUPrimary Location AL BirminghamHospital/Facility Brookwood Medical CenterJob Type Full timeShift Type NightsJob Number 1705040249JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
9,"Sentence[29]: ""Job Description   RN SICU FT NIGHTS  1705040249  RN SICU FT NIGHTSDescription We are currently looking for a Registered Nurse   RN whose compassion  clinical expertise  and excellence are top priority"" → [""compassion""/In-SK]"
